event_id,event_type,media_id,thread_id,utc_timestamp,sender_id,message_text
EVT_000060,text,,SMS_THREAD_0012,2025-01-12T14:06:28Z,+1775XXXX003,This is a threat.
EVT_000061,text,,SMS_THREAD_0012,2025-01-12T14:06:59Z,+1775XXXX002,Look at this.
EVT_000062,image,IMG_0781,SMS_THREAD_0012,2025-01-12T14:07:13Z,+1775XXXX002,Look at this.
EVT_000063,text,,SMS_THREAD_0012,2025-01-12T14:07:47Z,+1775XXXX002,I can't believe this.
EVT_000064,text,,SMS_THREAD_0012,2025-01-12T14:08:19Z,+1775XXXX003,This is what I was talking about.
EVT_000065,image,IMG_2099,SMS_THREAD_0012,2025-01-12T14:08:41Z,+1775XXXX002,Look at this.
EVT_000066,text,,SMS_THREAD_0012,2025-01-12T14:09:01Z,+1775XXXX002,This is a threat.
EVT_000067,text,,SMS_THREAD_0012,2025-01-12T14:09:19Z,+1775XXXX001,I can't believe this.
EVT_000068,text,,SMS_THREAD_0012,2025-01-12T14:09:26Z,+1775XXXX002,Check this out.
EVT_000069,text,,SMS_THREAD_0012,2025-01-12T14:09:39Z,+1775XXXX003,I can't believe this.
EVT_000070,image,IMG_2099,SMS_THREAD_0012,2025-01-12T14:10:18Z,+1775XXXX001,Look at this.
EVT_000071,text,,SMS_THREAD_0012,2025-01-12T14:10:38Z,+1775XXXX003,This is disgusting.
EVT_000072,image,IMG_0346,SMS_THREAD_0012,2025-01-12T14:11:03Z,+1775XXXX001,Look at this.
EVT_000073,text,,SMS_THREAD_0012,2025-01-12T14:11:36Z,+1775XXXX001,Look at this.
EVT_000074,text,,SMS_THREAD_0012,2025-01-12T14:12:08Z,+1775XXXX001,Look at this.
EVT_000075,text,,SMS_THREAD_0012,2025-01-12T14:12:44Z,+1775XXXX001,Look at this.
EVT_000076,text,,SMS_THREAD_0012,2025-01-12T14:13:00Z,+1775XXXX003,Look at this.
EVT_000077,text,,SMS_THREAD_0012,2025-01-12T14:13:09Z,+1775XXXX003,Look at this.
EVT_000078,text,,SMS_THREAD_0012,2025-01-12T14:13:40Z,+1775XXXX001,Look at this.
EVT_000079,image,IMG_2099,SMS_THREAD_0012,2025-01-12T14:14:13Z,+1775XXXX001,This is disgusting.
EVT_000080,text,,SMS_THREAD_0012,2025-01-12T14:14:22Z,+1775XXXX003,This is disgusting.
EVT_000081,text,,SMS_THREAD_0021,2025-01-12T14:00:00Z,+1775XXXX002,We should deal with them.
EVT_000082,text,,SMS_THREAD_0021,2025-01-12T14:00:15Z,+1775XXXX001,Check this out.
EVT_000083,text,,SMS_THREAD_0021,2025-01-12T14:00:23Z,+1775XXXX001,Look at this.
EVT_000084,text,,SMS_THREAD_0021,2025-01-12T14:00:30Z,+1775XXXX001,This is a threat.
EVT_000085,image,IMG_2099,SMS_THREAD_0021,2025-01-12T14:01:03Z,+1775XXXX002,We should deal with them.
EVT_000086,text,,SMS_THREAD_0021,2025-01-12T14:01:08Z,+1775XXXX002,We should deal with them.
EVT_000087,image,IMG_0346,SMS_THREAD_0021,2025-01-12T14:01:34Z,+1775XXXX003,We should deal with them.
EVT_000088,text,,SMS_THREAD_0021,2025-01-12T14:02:12Z,+1775XXXX001,Check this out.
EVT_000089,image,IMG_0346,SMS_THREAD_0021,2025-01-12T14:02:35Z,+1775XXXX003,Check this out.
EVT_000090,text,,SMS_THREAD_0021,2025-01-12T14:02:58Z,+1775XXXX003,Check this out.
EVT_000091,text,,SMS_THREAD_0021,2025-01-12T14:03:15Z,+1775XXXX003,I can't believe this.
EVT_000092,image,IMG_1120,SMS_THREAD_0021,2025-01-12T14:03:35Z,+1775XXXX003,Look at this.
EVT_000093,text,,SMS_THREAD_0021,2025-01-12T14:03:57Z,+1775XXXX001,Look at this.
EVT_000094,image,IMG_0781,SMS_THREAD_0021,2025-01-12T14:04:25Z,+1775XXXX002,Look at this.
EVT_000095,image,IMG_0781,SMS_THREAD_0021,2025-01-12T14:04:40Z,+1775XXXX003,Look at this.
EVT_000096,image,IMG_1120,SMS_THREAD_0021,2025-01-12T14:04:56Z,+1775XXXX002,Look at this.
EVT_000097,text,,SMS_THREAD_0021,2025-01-12T14:05:29Z,+1775XXXX003,Check this out.
EVT_000098,text,,SMS_THREAD_0021,2025-01-12T14:05:55Z,+1775XXXX001,This is what I was talking about.
EVT_000099,text,,SMS_THREAD_0021,2025-01-12T14:06:33Z,+1775XXXX003,Check this out.
EVT_000100,text,,SMS_THREAD_0021,2025-01-12T14:07:12Z,+1775XXXX003,Check this out.
EVT_000101,image,IMG_0346,SMS_THREAD_0021,2025-01-12T14:07:35Z,+1775XXXX002,Look at this.
EVT_000102,text,,SMS_THREAD_0021,2025-01-12T14:07:41Z,+1775XXXX003,This is what I was talking about.
EVT_000103,text,,SMS_THREAD_0021,2025-01-12T14:07:46Z,+1775XXXX002,Look at this.
EVT_000104,text,,SMS_THREAD_0021,2025-01-12T14:07:59Z,+1775XXXX003,This is a threat.
EVT_000105,image,IMG_0781,SMS_THREAD_0021,2025-01-12T14:08:31Z,+1775XXXX002,Look at this.
EVT_000106,text,,SMS_THREAD_0021,2025-01-12T14:08:45Z,+1775XXXX002,I can't believe this.
EVT_000107,text,,SMS_THREAD_0021,2025-01-12T14:09:19Z,+1775XXXX003,I can't believe this.
EVT_000108,text,,SMS_THREAD_0021,2025-01-12T14:09:29Z,+1775XXXX003,This is what I was talking about.
EVT_000109,text,,SMS_THREAD_0021,2025-01-12T14:09:35Z,+1775XXXX001,Look at this.
EVT_000110,image,IMG_2099,SMS_THREAD_0021,2025-01-12T14:09:45Z,+1775XXXX003,Look at this.
EVT_000111,text,,SMS_THREAD_0021,2025-01-12T14:10:15Z,+1775XXXX003,Look at this.
EVT_000112,text,,SMS_THREAD_0021,2025-01-12T14:10:39Z,+1775XXXX001,Look at this.
EVT_000113,text,,SMS_THREAD_0021,2025-01-12T14:11:12Z,+1775XXXX003,Check this out.
EVT_000114,text,,SMS_THREAD_0021,2025-01-12T14:11:47Z,+1775XXXX001,This is what I was talking about.
EVT_000115,text,,SMS_THREAD_0021,2025-01-12T14:12:00Z,+1775XXXX002,Look at this.
EVT_000116,image,IMG_2099,SMS_THREAD_0021,2025-01-12T14:12:31Z,+1775XXXX001,Look at this.
EVT_000117,text,,SMS_THREAD_0021,2025-01-12T14:13:02Z,+1775XXXX003,This is a threat.
EVT_000118,text,,SMS_THREAD_0021,2025-01-12T14:13:12Z,+1775XXXX003,That's unacceptable.
EVT_000119,text,,SMS_THREAD_0021,2025-01-12T14:13:29Z,+1775XXXX003,This is what I was talking about.
EVT_000120,text,,SMS_THREAD_0021,2025-01-12T14:13:56Z,+1775XXXX002,
